City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Staffanstorp,SE,55.64,13.21,68.0,63,40,11.41,scattered clouds
336,Gediz,TR,39.04,29.41,69.51,43,0,7.85,clear sky
337,Alice Springs,AU,-23.7,133.88,48.2,42,0,6.64,clear sky
338,Kot Kapura,IN,30.58,74.9,83.66,72,3,8.37,clear sky
339,Honningsvag,NO,70.98,25.97,57.2,82,75,10.29,broken clouds
340,Abnub,EG,27.27,31.15,86.0,35,0,11.41,clear sky
341,Andenes,NO,69.31,16.12,55.4,93,90,21.92,overcast clouds
342,Pirapozinho,BR,-22.28,-51.5,75.2,33,0,13.87,clear sky
343,Adrar,MR,20.5,-10.07,110.86,7,86,11.39,overcast clouds
344,Agbor,NG,6.25,6.19,75.18,89,100,5.86,overcast clouds
345,Port-Gentil,GA,-0.72,8.78,78.8,74,75,13.44,broken clouds
346,Strezhevoy,RU,60.73,77.59,53.6,100,95,2.24,overcast clouds
347,Hervey Bay,AU,-25.3,152.85,54.0,40,0,8.05,clear sky
348,Matagami,CA,49.75,-77.63,66.2,52,1,6.33,clear sky
349,Touros,BR,-5.2,-35.46,82.4,61,40,16.11,scattered clouds
350,Isangel,VU,-19.55,169.27,74.59,87,5,4.07,clear sky
351,Sayat,TM,38.78,63.88,87.8,23,75,6.93,broken clouds
352,Mingshui,CN,36.72,117.5,86.0,71,69,11.72,light rain
353,Hollins,US,37.34,-79.94,87.01,62,75,6.93,broken clouds
354,Kedougou,SN,12.56,-12.17,83.88,79,92,3.42,overcast clouds
355,Bay Roberts,CA,47.6,-53.26,72.0,100,1,1.01,clear sky
356,Gotsu,JP,35.0,132.22,74.8,88,4,2.71,clear sky
357,Marystown,CA,47.17,-55.15,64.99,62,0,14.81,clear sky
358,Pervomayskiy,RU,53.25,40.29,63.34,63,35,3.18,scattered clouds
359,Hualmay,PE,-11.1,-77.61,66.97,63,15,8.19,few clouds
360,Svetlogorsk,BY,52.63,29.73,69.3,71,89,7.27,overcast clouds
361,Yafran,LY,32.06,12.53,76.5,56,0,7.92,clear sky
362,Ancud,CL,-41.87,-73.82,52.0,93,90,14.99,overcast clouds
